270.837 -1.79378e-06 -0.00369124  3.63164 -0.0525523  1.94887e-06 -0.00369137  3.35699 -0.0429039  
273.161 -1.76585e-06 -0.00365985  3.63182 -0.0520326  1.91575e-06 -0.00365997  3.35699 -0.0425569  
275.486 -1.73854e-06 -0.00362898  3.632 -0.0515229  1.88346e-06 -0.0036291  3.357 -0.0422153  
277.811 -1.71184e-06 -0.00359863  3.63218 -0.0510232  1.85199e-06 -0.00359875  3.35701 -0.0418793  
280.136 -1.68572e-06 -0.00356878  3.63235 -0.0505331  1.8213e-06 -0.00356889  3.35702 -0.0415485  
282.461 -1.66018e-06 -0.00353942  3.63251 -0.0500523  1.79137e-06 -0.00353953  3.35702 -0.0412229  
284.785 -1.63519e-06 -0.00351054  3.63267 -0.0495805  1.76217e-06 -0.00351065  3.35703 -0.0409024  
287.11 -1.61074e-06 -0.00348213  3.63283 -0.0491176  1.73368e-06 -0.00348224  3.35704 -0.0405868  
289.435 -1.58682e-06 -0.00345418  3.63299 -0.0486633  1.70587e-06 -0.00345428  3.35704 -0.0402761  
291.76 -1.56341e-06 -0.00342667  3.63314 -0.0482172  1.67873e-06 -0.00342677  3.35705 -0.0399701  
294.084 -1.54049e-06 -0.00339959  3.63328 -0.0477793  1.65224e-06 -0.00339969  3.35706 -0.0396687  
296.409 -1.51807e-06 -0.00337294  3.63343 -0.0473492  1.62636e-06 -0.00337303  3.35706 -0.0393718  
298.734 -1.49611e-06 -0.00334671  3.63357 -0.0469269  1.60109e-06 -0.0033468  3.35707 -0.0390793  
301.059 -1.47461e-06 -0.00332088  3.6337 -0.0465119  1.5764e-06 -0.00332096  3.35707 -0.0387911  
303.384 -1.45356e-06 -0.00329544  3.63384 -0.0461043  1.55228e-06 -0.00329552  3.35708 -0.0385072  
305.708 -1.43294e-06 -0.00327039  3.63397 -0.0457038  1.52871e-06 -0.00327047  3.35708 -0.0382274  
308.033 -1.41275e-06 -0.00324572  3.6341 -0.0453101  1.50568e-06 -0.0032458  3.35709 -0.0379516  
