442.493 -1.61513e-06 -0.00225958  5.31633 -0.053147  1.53581e-06 -0.00225952  4.69919 -0.0639969  
445.321 -1.59456e-06 -0.00224524  5.3163 -0.0528282  1.51723e-06 -0.00224518  4.69902 -0.0635352  
448.148 -1.57438e-06 -0.00223108  5.31628 -0.0525132  1.49897e-06 -0.00223102  4.69886 -0.0630801  
450.976 -1.55458e-06 -0.00221709  5.31625 -0.052202  1.48104e-06 -0.00221704  4.69869 -0.0626315  
453.803 -1.53516e-06 -0.00220328  5.31623 -0.0518944  1.46343e-06 -0.00220323  4.69853 -0.0621893  
456.63 -1.51609e-06 -0.00218964  5.3162 -0.0515904  1.44612e-06 -0.00218959  4.69838 -0.0617532  
459.458 -1.49738e-06 -0.00217617  5.31618 -0.0512899  1.42911e-06 -0.00217612  4.69822 -0.0613232  
462.285 -1.47902e-06 -0.00216287  5.31616 -0.050993  1.41239e-06 -0.00216282  4.69807 -0.0608992  
465.113 -1.46099e-06 -0.00214972  5.31613 -0.0506994  1.39596e-06 -0.00214968  4.69792 -0.060481  
467.94 -1.44329e-06 -0.00213674  5.31611 -0.0504092  1.37981e-06 -0.00213669  4.69778 -0.0600685  
470.768 -1.42591e-06 -0.00212391  5.31609 -0.0501223  1.36394e-06 -0.00212386  4.69764 -0.0596615  
473.595 -1.40884e-06 -0.00211123  5.31607 -0.0498387  1.34833e-06 -0.00211119  4.6975 -0.0592601  
476.423 -1.39208e-06 -0.0020987  5.31605 -0.0495582  1.33299e-06 -0.00209866  4.69736 -0.058864  
479.25 -1.37562e-06 -0.00208632  5.31603 -0.0492809  1.3179e-06 -0.00208628  4.69722 -0.0584732  
482.077 -1.35944e-06 -0.00207409  5.31601 -0.0490067  1.30306e-06 -0.00207405  4.69709 -0.0580875  
484.905 -1.34356e-06 -0.002062  5.31599 -0.0487355  1.28847e-06 -0.00206196  4.69696 -0.0577069  
487.732 -1.32794e-06 -0.00205005  5.31597 -0.0484673  1.27412e-06 -0.00205001  4.69683 -0.0573313  
490.56 -1.3126e-06 -0.00203824  5.31595 -0.0482021  1.26e-06 -0.0020382  4.6967 -0.0569605  
493.387 -1.29753e-06 -0.00202656  5.31593 -0.0479397  1.24611e-06 -0.00202652  4.69658 -0.0565944  
496.215 -1.28271e-06 -0.00201501  5.31591 -0.0476801  1.23245e-06 -0.00201498  4.69646 -0.0562331  
499.042 -1.26814e-06 -0.0020036  5.31589 -0.0474234  1.21901e-06 -0.00200357  4.69634 -0.0558763  
501.869 -1.25383e-06 -0.00199231  5.31587 -0.0471694  1.20579e-06 -0.00199228  4.69622 -0.055524  
504.697 -1.23975e-06 -0.00198116  5.31586 -0.0469181  1.19277e-06 -0.00198112  4.6961 -0.0551762  
507.524 -1.22591e-06 -0.00197012  5.31584 -0.0466695  1.17997e-06 -0.00197009  4.69599 -0.0548327  
510.352 -1.2123e-06 -0.00195921  5.31582 -0.0464235  1.16736e-06 -0.00195918  4.69588 -0.0544934  
513.179 -1.19892e-06 -0.00194842  5.3158 -0.04618  1.15496e-06 -0.00194839  4.69577 -0.0541583  
516.007 -1.18576e-06 -0.00193774  5.31579 -0.0459392  1.14274e-06 -0.00193771  4.69566 -0.0538273  
518.834 -1.17281e-06 -0.00192719  5.31577 -0.0457008  1.13072e-06 -0.00192716  4.69555 -0.0535003  
521.661 -1.16007e-06 -0.00191674  5.31575 -0.0454649  1.11889e-06 -0.00191671  4.69545 -0.0531772  
524.489 -1.14754e-06 -0.00190641  5.31574 -0.0452314  1.10723e-06 -0.00190638  4.69534 -0.0528581  
527.316 -1.13522e-06 -0.00189619  5.31572 -0.0450002  1.09576e-06 -0.00189616  4.69524 -0.0525427  
530.144 -1.12309e-06 -0.00188608  5.31571 -0.0447715  1.08446e-06 -0.00188605  4.69514 -0.0522311  
532.971 -1.11115e-06 -0.00187608  5.31569 -0.044545  1.07333e-06 -0.00187605  4.69504 -0.0519232  
535.799 -1.09941e-06 -0.00186618  5.31568 -0.0443209  1.06238e-06 -0.00186615  4.69495 -0.0516189  
538.626 -1.08785e-06 -0.00185638  5.31566 -0.0440989  1.05158e-06 -0.00185636  4.69485 -0.0513181  
541.453 -1.07647e-06 -0.00184669  5.31565 -0.0438792  1.04095e-06 -0.00184667  4.69476 -0.0510208  
544.281 -1.06527e-06 -0.0018371  5.31563 -0.0436617  1.03048e-06 -0.00183708  4.69467 -0.0507269  
547.108 -1.05424e-06 -0.00182761  5.31562 -0.0434463  1.02016e-06 -0.00182759  4.69458 -0.0504364  
549.936 -1.04338e-06 -0.00181821  5.31561 -0.043233  1.01e-06 -0.00181819  4.69449 -0.0501492  
552.763 -1.03269e-06 -0.00180892  5.31559 -0.0430218  9.99981e-07 -0.00180889  4.6944 -0.0498653  
555.591 -1.02217e-06 -0.00179971  5.31558 -0.0428127  9.90112e-07 -0.00179969  4.69431 -0.0495845  
558.418 -1.0118e-06 -0.0017906  5.31557 -0.0426056  9.80388e-07 -0.00179058  4.69422 -0.0493069  
